0	2.636040414	10	1.937128243
0.076	2.700124258	10	1.937827717
0.147	2.818084993	10	1.93893906
0.278	2.981048542	10	1.940280496
0.399	3.181230736	10	1.941988645
0.47	3.411264969	10	1.943776267
0.527	3.664647147	10	1.94583534
0.644	3.935859087	10	1.948279911
0.706	4.219847169	10	1.950338777
0.768	4.512294984	10	1.952700885
0.941	4.809634935	10	1.955223096
1.005	5.108426611	10	1.958181111
1.076	5.405689998	10	1.961031309
1.174	5.699146738	10	1.963951546
1.235	5.986908486	10	1.966951806
1.297	6.267249547	10	1.970020109
1.387	6.538695304	10	1.973188457
1.454	6.80051003	10	1.97634922
1.508	7.05163996	10	1.979156704
1.601	7.291467813	10	1.982478882
1.657	7.519521364	10	1.98581371
1.712	7.735560523	10	1.989105403
1.814	7.939573128	10	1.992474224
1.874	8.131376747	10	1.995839368
1.944	8.311128559	10	1.999308158
2.071	8.479053351	5	2.002884093
2.158	8.591968113	5	2.006344722
2.23	8.657082225	5	2.010144326
2.297	8.68085104	5	2.013797303
2.348	8.669034654	5	2.017600779
2.427	8.626996887	5	2.021251031
2.48	8.5596782	5	2.025239546
2.55	8.471398137	5	2.02934505
2.611	8.365934626	5	2.033262434
2.67	8.246882288	5	2.037115764
2.757	8.11717798	5	2.040707272
2.81	7.979420808	5	2.04501866
2.867	7.835945088	5	2.049556074
2.947	7.688988547	5	2.053820784
3.024	7.540163201	5	2.058377138
3.101	7.391280841	5	2.062721657
3.16	7.243414753	5	2.06692034
3.208	7.097794186	5	2.071178907
3.262	6.955438159	5	2.07546481
3.315	6.817012646	5	2.079476504
3.362	6.683061689	5	2.083474219
3.408	6.554025783	5	2.087771671
3.461	6.430413127	5	2.092355588
3.525	6.312540616	5	2.096607842
3.571	6.200527892	5	2.1005952
3.623	6.094566683	5	2.104360248
3.687	5.994631474	5	2.1082326
3.743	5.900542061	5	2.11189286
3.788	5.81252733	5	2.115596944
3.838	5.730368771	5	2.119164747
3.903	5.65399823	5	2.122496125
3.949	5.583321115	5	2.125728522
3.996	5.517939755	5	2.129094039
4.048	5.457730819	5	2.132590764
4.096	5.402456067	5	2.135993909
4.145	5.351862487	5	2.139082858
4.197	5.305719514	5	2.141825702
4.239	5.263892385	5	2.144471722
4.283	5.225992986	5	2.147749678
4.333	5.191694933	5	2.151348207
4.374	5.160817882	5	2.154503044
4.422	5.133148465	5	2.15753741
4.478	5.108261389	5	2.16122029
4.518	5.086154628	5	2.164794344
